"","county_desc","site_name","election_dt","site_total_age","age_percent_Age 18 - 25","age_percent_Age 26 - 40","age_percent_Age 41 - 65","age_percent_Age Over 66","age_percent_NA","n_Age 18 - 25","n_Age 26 - 40","n_Age 41 - 65","n_Age Over 66","n_NA","site_total_ethnicity","ethnicity_percent_HISPANIC or LATINO","ethnicity_percent_NOT HISPANIC or NOT LATINO","ethnicity_percent_UNDESIGNATED ETHNICITY","n_HISPANIC or LATINO","n_NOT HISPANIC or NOT LATINO","n_UNDESIGNATED ETHNICITY","site_total","race_percent_ASIAN","race_percent_BLACK or AFRICAN AMERICAN","race_percent_INDIAN AMERICAN or ALASKA NATIVE","race_percent_OTHER","race_percent_TWO or MORE RACES","race_percent_UNDESIGNATED RACE","race_percent_WHITE","race_percent_'UNDESIGNATED","n_ASIAN","n_BLACK or AFRICAN AMERICAN","n_INDIAN AMERICAN or ALASKA NATIVE","n_OTHER","n_TWO or MORE RACES","n_UNDESIGNATED RACE","n_WHITE","n_'UNDESIGNATED","n","sdr_percent","race_percent_NATIVE HAWAIIAN or PACIFIC ISLANDER","n_NATIVE HAWAIIAN or PACIFIC ISLANDER","election"
"1797","MADISON","HOT SPRINGS (BILL WHITTEN) COMMUNITY CENTER","06/23/2020",35,0.029,0.057,0.371,0.543,NA,1,2,13,19,NA,35,NA,0.6,0.4,NA,21,14,35,NA,NA,NA,NA,NA,0.029,0.971,NA,NA,NA,NA,NA,NA,1,34,NA,NA,NA,NA,NA,"2020-06"
"1798","MADISON","MADISON COUNTY BOARD OF ELECTIONS OFFICE","06/23/2020",117,0.026,0.094,0.436,0.444,NA,3,11,51,52,NA,117,0.009,0.667,0.325,1,78,38,117,0.009,NA,NA,NA,NA,NA,0.991,NA,1,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,"2020-06"
"1799","MADISON","MARS HILL PUBLIC LIBRARY","06/23/2020",245,0.041,0.082,0.392,0.478,0.008,10,20,96,117,2,245,NA,0.743,0.257,NA,182,63,245,NA,NA,NA,0.012,0.004,0.012,0.971,NA,NA,NA,NA,3,1,3,238,NA,NA,NA,NA,NA,"2020-06"
"1800","MCDOWELL","MCDOWELL COUNTY BOARD OF ELECTIONS OFFICE","06/23/2020",864,0.024,0.061,0.41,0.499,0.006,21,53,354,431,5,864,0.002,0.909,0.089,2,785,77,864,0.002,0.001,NA,0.006,0.001,NA,0.99,NA,2,1,NA,5,1,NA,855,NA,NA,NA,NA,NA,"2020-06"
"1801","MITCHELL","MITCHELL COUNTY BOARD OF ELECTIONS OFFICE","06/23/2020",375,0.016,0.043,0.408,0.531,0.003,6,16,153,199,1,375,0.005,0.861,0.133,2,323,50,375,NA,NA,NA,0.003,NA,0.016,0.981,NA,NA,NA,NA,1,NA,6,368,NA,NA,NA,NA,NA,"2020-06"
"1802","POLK","POLK COUNTY BOARD OF ELECTIONS OFFICE","06/23/2020",455,0.026,0.055,0.31,0.609,NA,12,25,141,277,NA,455,0.007,0.804,0.189,3,366,86,455,NA,0.004,NA,NA,0.002,0.013,0.98,NA,NA,2,NA,NA,1,6,446,NA,NA,NA,NA,NA,"2020-06"
"1803","RUTHERFORD","RUTHERFORD COUNTY BOARD OF ELECTIONS OFFICE","06/23/2020",407,0.022,0.145,0.4,0.425,0.007,9,59,163,173,3,407,0.012,0.885,0.103,5,360,42,407,NA,0.061,0.015,0.01,0.002,0.015,0.897,NA,NA,25,6,4,1,6,365,NA,NA,NA,NA,NA,"2020-06"
"1804","SWAIN","SWAIN COUNTY BOARD OF ELECTIONS OFFICE","06/23/2020",280,0.021,0.05,0.396,0.529,0.004,6,14,111,148,1,280,0.004,0.946,0.05,1,265,14,280,NA,NA,0.018,NA,NA,0.021,0.961,NA,NA,NA,5,NA,NA,6,269,NA,NA,NA,NA,NA,"2020-06"
"1805","TRANSYLVANIA","TRANSYLVANIA COUNTY BOARD OF ELECTIONS OFFICE","06/23/2020",790,0.03,0.043,0.316,0.606,0.004,24,34,250,479,3,790,0.003,0.841,0.157,2,664,124,790,0.005,NA,0.001,0.005,0.003,0.016,0.97,NA,4,NA,1,4,2,13,766,NA,NA,NA,NA,NA,"2020-06"
"1806","YANCEY","YANCEY COUNTY BOARD OF ELECTIONS OFFICE","06/23/2020",581,0.022,0.077,0.365,0.532,0.003,13,45,212,309,2,581,0.003,0.835,0.162,2,485,94,581,NA,NA,0.002,NA,NA,0.015,0.983,NA,NA,NA,1,NA,NA,9,571,NA,NA,NA,NA,NA,"2020-06"
"1807","ALAMANCE","ALAMANCE COUNTY OFFICE ANNEX BUILDING (AUDITORIUM)","11/03/2020",11630,0.078,0.191,0.478,0.243,0.011,902,2217,5559,2825,127,11630,0.039,0.72,0.24,456,8378,2796,11630,0.008,0.186,0.003,0.024,0.005,0.09,0.685,NA,89,2159,31,279,56,1046,7969,NA,359,0.031,0,1,"2020-11"
"1808","ALAMANCE","ELMIRA COMMUNITY CENTER","11/03/2020",7673,0.105,0.212,0.478,0.19,0.014,809,1627,3665,1461,111,7673,0.041,0.682,0.276,318,5234,2121,7673,0.003,0.438,0.002,0.023,0.007,0.099,0.429,NA,22,3359,18,173,51,759,3290,NA,313,0.041,0,1,"2020-11"
"1809","ALAMANCE","HOLLY HILL MALL","11/03/2020",13883,0.129,0.21,0.424,0.216,0.021,1794,2918,5885,2996,290,13883,0.039,0.717,0.244,546,9955,3382,13883,0.011,0.137,0.002,0.025,0.005,0.11,0.709,NA,156,1896,34,353,74,1527,9842,NA,515,0.037,0,1,"2020-11"
"1810","ALAMANCE","KERNODLE SENIOR CENTER","11/03/2020",9050,0.073,0.154,0.45,0.313,0.01,658,1397,4072,2829,94,9050,0.018,0.761,0.221,165,6888,1997,9050,0.005,0.144,0.002,0.012,0.006,0.074,0.757,NA,42,1307,18,109,50,673,6851,NA,212,0.023,NA,NA,"2020-11"
"1811","ALAMANCE","MEBANE ARTS AND COMMUN ITY CENTER","11/03/2020",11312,0.09,0.214,0.496,0.188,0.013,1019,2420,5606,2125,142,11312,0.025,0.673,0.302,278,7614,3420,11312,0.006,0.197,0.003,0.017,0.006,0.131,0.641,NA,69,2224,31,196,67,1477,7248,NA,340,0.03,NA,NA,"2020-11"
"1812","ALEXANDER","ALEXANDER SENIOR CENTER","11/03/2020",6927,0.072,0.164,0.461,0.292,0.011,496,1138,3194,2023,76,6927,0.01,0.85,0.14,69,5889,969,6927,0.003,0.055,0.001,0.007,0.001,0.056,0.877,NA,19,383,6,47,9,388,6074,NA,197,0.028,0,1,"2020-11"
"1813","ALEXANDER","BETHLEHEM COMMUNITY FIRE/RESCUE","11/03/2020",4987,0.072,0.171,0.479,0.269,0.009,361,854,2388,1340,44,4987,0.008,0.795,0.197,39,3965,983,4987,0.005,0.004,0.002,0.005,0.002,0.096,0.887,NA,24,21,8,26,10,477,4421,NA,140,0.028,NA,NA,"2020-11"
"1814","ALEXANDER","HIDDENITE VOLUNTEER FIRE DEPARTMENT","11/03/2020",3247,0.093,0.169,0.464,0.259,0.014,302,550,1506,842,47,3247,0.008,0.842,0.15,27,2733,487,3247,0.001,0.032,0.001,0.006,0.001,0.066,0.892,NA,4,104,4,21,3,215,2896,NA,87,0.027,NA,NA,"2020-11"
"1815","ALLEGHANY","ALLEGHANY COUNTY BOARD OF ELECTIONS OFFICE","11/03/2020",4305,0.06,0.124,0.439,0.37,0.007,260,532,1888,1593,32,4305,0.01,0.782,0.208,44,3365,896,4305,0,0.009,0.001,0.004,0.001,0.088,0.897,NA,1,37,4,18,5,377,3863,NA,103,0.024,NA,NA,"2020-11"
"1816","ANSON","ANSON COUNTY BOARD OF ELECTIONS OFFICE","11/03/2020",7151,0.072,0.163,0.464,0.29,0.01,517,1165,3321,2076,72,7151,0.002,0.713,0.285,14,5102,2035,7151,0.003,0.439,0.001,0.003,0.001,0.168,0.385,NA,18,3138,8,24,7,1204,2752,NA,277,0.039,NA,NA,"2020-11"
"1817","ASHE","ASHE AGRICULTURAL SERVICES BUILDING","11/03/2020",9243,0.068,0.15,0.446,0.327,0.01,630,1382,4118,3025,88,9243,0.01,0.794,0.195,96,7341,1806,9243,0.002,0.005,0.001,0.007,0.001,0.087,0.898,NA,21,43,9,64,6,804,8296,NA,222,0.024,NA,NA,"2020-11"
"1818","AVERY","AVERY COUNTY DIVE IN POOL COMPLEX","11/03/2020",5052,0.062,0.156,0.432,0.342,0.009,312,788,2181,1727,44,5052,0.005,0.744,0.251,24,3758,1270,5052,0.001,0.001,0.001,0.006,0.001,0.105,0.885,NA,4,7,6,28,6,528,4473,NA,206,0.041,NA,NA,"2020-11"
"1819","BEAUFORT","AURORA - AURORA COMMUNITY CENTER","11/03/2020",830,0.039,0.119,0.46,0.378,0.004,32,99,382,314,3,830,0.004,0.686,0.311,3,569,258,830,NA,0.413,0.004,0.006,0.001,0.11,0.466,NA,NA,343,3,5,1,91,387,NA,36,0.043,NA,NA,"2020-11"
"1820","BEAUFORT","BEAUFORT COUNTY BOARD OF ELECTIONS OFFICE","11/03/2020",11281,0.062,0.147,0.441,0.337,0.012,700,1660,4977,3805,139,11281,0.011,0.738,0.25,128,8328,2825,11281,0.001,0.223,0.001,0.01,0.001,0.061,0.703,NA,13,2514,10,110,14,687,7933,NA,298,0.026,NA,NA,"2020-11"
"1821","BEAUFORT","BELHAVEN - JOHN A WILKINSON CENTER","11/03/2020",1401,0.061,0.121,0.46,0.348,0.011,85,169,644,488,15,1401,0.006,0.767,0.227,8,1075,318,1401,NA,0.266,NA,0.007,0.001,0.055,0.671,NA,NA,372,NA,10,2,77,940,NA,39,0.028,NA,NA,"2020-11"
"1822","BEAUFORT","CHOCOWINITY FIRE DEPARTMENT","11/03/2020",4003,0.062,0.127,0.446,0.355,0.009,250,510,1784,1423,36,4003,0.009,0.719,0.273,35,2877,1091,4003,0.001,0.152,0.001,0.009,0.002,0.088,0.746,NA,3,610,6,37,10,351,2986,NA,151,0.038,NA,NA,"2020-11"
"1823","BERTIE","BERTIE COUNTY BOARD OF ELECTIONS OFFICE","11/03/2020",4093,0.059,0.134,0.46,0.337,0.01,242,549,1883,1378,41,4093,0.001,0.787,0.212,6,3220,867,4093,0.003,0.536,0.001,0.002,0.002,0.047,0.409,NA,13,2194,3,7,8,193,1674,NA,97,0.024,0,1,"2020-11"
"1824","BERTIE","LEWISTON","11/03/2020",1199,0.068,0.14,0.517,0.27,0.004,82,168,620,324,5,1199,0.005,0.705,0.29,6,845,348,1199,NA,0.786,0.003,0.002,0.003,0.05,0.157,NA,NA,942,4,2,3,60,188,NA,77,0.064,NA,NA,"2020-11"
"1825","BERTIE","POWELLSVILLE TOWN HALL","11/03/2020",1818,0.058,0.171,0.463,0.301,0.008,105,310,841,548,14,1818,0.003,0.747,0.25,5,1358,455,1818,NA,0.531,0.001,0.004,0.001,0.062,0.401,NA,NA,965,2,7,2,113,729,NA,69,0.038,NA,NA,"2020-11"
"1826","BLADEN","BAY TREE FIRE DEPARTMENT","11/03/2020",917,0.041,0.147,0.467,0.332,0.013,38,135,428,304,12,917,0.01,0.768,0.222,9,704,204,917,0.001,0.104,0.008,0.007,0.002,0.071,0.808,NA,1,95,7,6,2,65,741,NA,41,0.045,NA,NA,"2020-11"
"1827","BLADEN","BLADEN COUNTY RECREATION DEPT. (GYM)","11/03/2020",5469,0.077,0.161,0.448,0.302,0.012,421,878,2452,1654,64,5469,0.014,0.77,0.217,74,4210,1185,5469,0.001,0.429,0.008,0.011,0.003,0.044,0.504,NA,7,2347,43,61,15,238,2758,NA,158,0.029,NA,NA,"2020-11"
"1828","BLADEN","BLADENBORO","11/03/2020",2586,0.075,0.153,0.454,0.308,0.01,193,396,1174,797,26,2586,0.005,0.799,0.196,14,2066,506,2586,NA,0.185,0.007,0.005,0.003,0.03,0.769,NA,NA,479,19,12,9,78,1989,NA,90,0.035,NA,NA,"2020-11"
"1829","BLADEN","BOOKER T WASHINGTON PRIMARY SCHOOL","11/03/2020",747,0.071,0.177,0.448,0.293,0.011,53,132,335,219,8,747,0.005,0.724,0.27,4,541,202,747,0.001,0.459,0.032,0.007,0.007,0.047,0.446,NA,1,343,24,5,5,35,333,NA,33,0.044,0.001,1,"2020-11"
"1830","BLADEN","EAST ARCADIA","11/03/2020",731,0.066,0.186,0.442,0.298,0.008,48,136,323,218,6,731,0.007,0.765,0.228,5,559,167,731,NA,0.804,0.052,0.007,0.004,0.044,0.088,NA,NA,588,38,5,3,32,64,NA,41,0.056,0.001,1,"2020-11"
"1831","BLADEN","TAR HEEL MUNICIPAL BLDG.","11/03/2020",2059,0.06,0.165,0.484,0.285,0.006,124,339,996,587,13,2059,0.016,0.754,0.23,33,1552,474,2059,0.002,0.306,0.011,0.015,0.002,0.046,0.619,NA,4,630,22,30,4,95,1274,NA,79,0.038,NA,NA,"2020-11"
"1832","BRUNSWICK","COOPERATIVE EXTENSION","11/03/2020",3951,0.033,0.11,0.441,0.411,0.005,131,434,1742,1623,21,3951,0.005,0.668,0.326,20,2641,1290,3951,0.002,0.091,0.004,0.004,0.002,0.085,0.812,NA,9,360,15,17,7,335,3207,NA,70,0.018,0,1,"2020-11"
"1833","BRUNSWICK","LELAND CULTURAL ARTS CENTER","11/03/2020",9842,0.046,0.163,0.421,0.363,0.007,453,1600,4145,3571,73,9842,0.011,0.61,0.379,106,6001,3735,9842,0.005,0.065,0.001,0.01,0.003,0.131,0.785,NA,48,641,13,99,25,1291,7725,NA,281,0.029,NA,NA,"2020-11"
"1834","BRUNSWICK","SHALLOTTE COMMONS","11/03/2020",10975,0.047,0.113,0.437,0.394,0.008,520,1236,4798,4329,92,10975,0.009,0.64,0.351,95,7024,3856,10975,0.001,0.064,0.002,0.008,0.001,0.107,0.816,NA,12,703,26,89,16,1169,8960,NA,333,0.03,NA,NA,"2020-11"
"1835","BRUNSWICK","THE BRUNSWICK CENTER AT CALABASH","11/03/2020",9586,0.02,0.052,0.355,0.57,0.003,193,497,3403,5464,29,9586,0.007,0.64,0.354,63,6134,3389,9586,0.002,0.032,0.001,0.006,0.001,0.085,0.872,NA,19,304,14,59,11,818,8361,NA,195,0.02,NA,NA,"2020-11"
"1836","BRUNSWICK","THE BRUNSWICK CENTER AT LELAND","11/03/2020",8760,0.059,0.192,0.446,0.296,0.008,514,1682,3905,2593,66,8760,0.014,0.6,0.386,125,5256,3379,8760,0.003,0.187,0.005,0.013,0.004,0.134,0.655,NA,22,1640,41,110,31,1175,5741,NA,323,0.037,NA,NA,"2020-11"
"1837","BRUNSWICK","THE BRUNSWICK CENTER AT SOUTHPORT","11/03/2020",10490,0.034,0.077,0.409,0.475,0.005,356,805,4294,4978,57,10490,0.006,0.646,0.348,60,6776,3654,10490,0.002,0.026,0.002,0.007,0.001,0.102,0.859,NA,22,272,18,74,14,1075,9015,NA,242,0.023,NA,NA,"2020-11"
"1838","BRUNSWICK","THE BRUNSWICK CENTER AT SUPPLY","11/03/2020",7502,0.035,0.091,0.42,0.45,0.005,261,679,3150,3377,35,7502,0.004,0.648,0.348,33,4860,2609,7502,0.002,0.077,0.003,0.005,0.001,0.1,0.812,NA,14,577,22,37,7,751,6094,NA,171,0.023,NA,NA,"2020-11"
"1839","BUNCOMBE","ASHEVILLE MALL","11/03/2020",8901,0.107,0.322,0.381,0.18,0.01,948,2868,3391,1606,88,8901,0.028,0.618,0.354,247,5504,3150,8901,0.01,0.075,0.002,0.025,0.009,0.113,0.767,NA,86,666,17,219,76,1005,6829,NA,308,0.035,0,3,"2020-11"
"1840","BUNCOMBE","ASHEVILLE OUTLETS","11/03/2020",6608,0.094,0.257,0.46,0.179,0.01,621,1698,3038,1182,69,6608,0.02,0.653,0.327,132,4317,2159,6608,0.009,0.027,0.001,0.02,0.004,0.112,0.826,NA,62,180,5,135,27,739,5460,NA,229,0.035,NA,NA,"2020-11"
"1841","BUNCOMBE","BEE TREE FIRE DEPARTMENT","11/03/2020",5664,0.071,0.207,0.447,0.266,0.01,403,1171,2530,1504,56,5664,0.015,0.7,0.286,84,3962,1618,5664,0.003,0.015,0.001,0.012,0.005,0.086,0.878,NA,15,85,7,67,26,489,4974,NA,120,0.021,0,1,"2020-11"
"1842","BUNCOMBE","BLACK MOUNTAIN BRANCH LIBRARY","11/03/2020",6608,0.055,0.182,0.441,0.313,0.009,362,1201,2917,2066,62,6608,0.008,0.728,0.263,56,4813,1739,6608,0.004,0.027,0.001,0.013,0.003,0.07,0.881,NA,28,181,6,85,21,464,5822,NA,166,0.025,0,1,"2020-11"
"1843","BUNCOMBE","DR. WESLEY GRANT SR - SOUTHSIDE CTR.","11/03/2020",4337,0.056,0.26,0.472,0.206,0.007,242,1126,2045,893,31,4337,0.014,0.647,0.338,61,2808,1468,4337,0.006,0.372,0.001,0.017,0.008,0.082,0.514,NA,24,1612,5,73,36,357,2230,NA,91,0.021,NA,NA,"2020-11"
"1844","BUNCOMBE","ENKA/CANDLER BRANCH LIBRARY","11/03/2020",8684,0.067,0.21,0.458,0.257,0.008,584,1825,3975,2230,70,8684,0.016,0.66,0.324,143,5729,2812,8684,0.004,0.015,0.001,0.015,0.003,0.105,0.856,NA,33,130,10,133,29,911,7436,NA,227,0.026,0,2,"2020-11"
"1845","BUNCOMBE","FAIRVIEW COMMUNITY CENTER","11/03/2020",7478,0.062,0.174,0.48,0.273,0.011,463,1303,3587,2043,82,7478,0.011,0.689,0.3,81,5154,2243,7478,0.003,0.008,0.001,0.013,0.003,0.093,0.878,NA,23,62,8,99,25,692,6569,NA,150,0.02,NA,NA,"2020-11"
"1846","BUNCOMBE","HARRAH'S CHEROKEE CENTER ASHEVILLE","11/03/2020",2778,0.086,0.352,0.41,0.147,0.005,239,977,1139,409,14,2778,0.022,0.585,0.393,60,1626,1092,2778,0.003,0.054,0.002,0.021,0.009,0.13,0.78,NA,8,150,6,57,25,362,2168,NA,93,0.033,0.001,2,"2020-11"
"1847","BUNCOMBE","LAND OF SKY REGIONAL COUNCIL","11/03/2020",5846,0.082,0.262,0.45,0.196,0.009,482,1531,2633,1146,54,5846,0.024,0.665,0.311,143,3886,1817,5846,0.004,0.034,0.002,0.019,0.007,0.103,0.832,NA,23,196,11,113,38,601,4863,NA,245,0.042,0,1,"2020-11"
"1848","BUNCOMBE","LEICESTER COMMUNITY CENTER","11/03/2020",5280,0.068,0.195,0.454,0.272,0.011,360,1028,2399,1435,58,5280,0.012,0.684,0.304,63,3614,1603,5280,0.001,0.005,0.001,0.012,0.003,0.085,0.892,NA,6,29,7,62,16,450,4710,NA,154,0.029,NA,NA,"2020-11"
"1849","BUNCOMBE","REYNOLDS VILLAGE","11/03/2020",6330,0.058,0.214,0.464,0.257,0.007,365,1352,2940,1626,47,6330,0.012,0.65,0.338,77,4116,2137,6330,0.005,0.011,0.001,0.015,0.003,0.093,0.871,NA,32,72,8,96,21,589,5512,NA,121,0.019,NA,NA,"2020-11"
"1850","BUNCOMBE","SOUTH BUNCOMBE BRANCH LIBRARY","11/03/2020",8793,0.08,0.224,0.456,0.23,0.01,703,1969,4008,2021,92,8793,0.021,0.645,0.334,185,5671,2937,8793,0.01,0.06,0.002,0.025,0.005,0.119,0.777,NA,87,530,18,224,45,1050,6835,NA,244,0.028,0,4,"2020-11"
"1851","BUNCOMBE","TURTLE CREEK SHOPPING CENTER","11/03/2020",5949,0.065,0.215,0.446,0.263,0.011,386,1277,2656,1562,68,5949,0.011,0.65,0.339,66,3869,2014,5949,0.006,0.072,0.001,0.015,0.004,0.12,0.782,NA,34,427,8,88,23,714,4654,NA,156,0.026,0,1,"2020-11"
"1852","BUNCOMBE","UNIVERSITY OF NORTH CAROLINA ASHEVILLE","11/03/2020",4872,0.242,0.267,0.336,0.123,0.031,1180,1303,1637,601,151,4872,0.028,0.597,0.375,135,2910,1827,4872,0.006,0.034,0.001,0.021,0.011,0.145,0.782,NA,30,167,6,100,52,706,3808,NA,287,0.059,0.001,3,"2020-11"
"1853","BUNCOMBE","WEAVERVILLE TOWN HALL","11/03/2020",10385,0.066,0.184,0.445,0.296,0.01,683,1906,4618,3073,105,10385,0.009,0.666,0.325,92,6916,3377,10385,0.003,0.006,0.001,0.011,0.002,0.072,0.904,NA,28,67,13,112,25,743,9393,NA,228,0.022,0,4,"2020-11"
"1854","BUNCOMBE","WEST ASHEVILLE COMMUNITY CENTER","11/03/2020",7559,0.066,0.385,0.408,0.135,0.007,496,2910,3082,1019,52,7559,0.026,0.619,0.354,198,4682,2679,7559,0.004,0.047,0.001,0.025,0.007,0.121,0.794,NA,33,357,8,186,54,915,6004,NA,179,0.024,0,2,"2020-11"
"1855","BURKE","BURKE COUNTY BOARD OF ELECTIONS OFFICE","11/03/2020",7533,0.075,0.171,0.485,0.258,0.01,568,1290,3651,1945,79,7533,0.017,0.807,0.176,128,6079,1326,7533,0.006,0.038,0.001,0.014,0.002,0.066,0.872,NA,48,286,10,103,17,497,6572,NA,231,0.031,NA,NA,"2020-11"
"1856","BURKE","BURKE COUNTY LIBRARY/SENIOR CENTER","11/03/2020",5946,0.075,0.178,0.477,0.259,0.011,446,1056,2838,1541,65,5946,0.006,0.815,0.179,37,4844,1065,5946,0.007,0.009,0.001,0.006,0.002,0.069,0.906,NA,41,55,6,35,10,412,5387,NA,242,0.041,NA,NA,"2020-11"
"1857","BURKE","GLEN ALPINE TOWN HALL","11/03/2020",5102,0.057,0.17,0.446,0.316,0.01,292,866,2278,1614,52,5102,0.008,0.797,0.195,40,4065,997,5102,0.005,0.07,0.002,0.008,0.001,0.082,0.833,NA,24,356,9,39,7,416,4251,NA,117,0.023,NA,NA,"2020-11"
"1858","BURKE","RUTHERFORD COLLEGE TOWN HALL","11/03/2020",5625,0.063,0.157,0.473,0.296,0.011,352,882,2661,1667,63,5625,0.004,0.835,0.161,25,4697,903,5625,0.008,0.018,0.001,0.005,0.001,0.059,0.907,NA,45,104,7,29,5,332,5103,NA,145,0.026,NA,NA,"2020-11"
"1859","BURKE","SENIOR CENTER","11/03/2020",7475,0.068,0.155,0.473,0.293,0.011,506,1161,3536,2190,82,7475,0.018,0.795,0.187,136,5943,1396,7475,0.005,0.117,0.001,0.018,0.003,0.065,0.791,NA,40,875,11,131,23,484,5911,NA,194,0.026,NA,NA,"2020-11"
"1860","CABARRUS","CABARRUS ARENA AND EVENTS CENTER","11/03/2020",23057,0.086,0.218,0.491,0.189,0.015,1981,5030,11320,4369,357,23057,0.02,0.687,0.293,466,15845,6746,23057,0.008,0.106,0.002,0.014,0.003,0.131,0.736,NA,174,2447,46,327,70,3021,16972,NA,627,0.027,NA,NA,"2020-11"
"1861","CABARRUS","EMBASSY SUITES","11/03/2020",18821,0.11,0.232,0.535,0.104,0.019,2076,4362,10064,1962,357,18821,0.03,0.609,0.36,574,11467,6780,18821,0.033,0.218,0.003,0.029,0.007,0.155,0.555,NA,612,4105,61,553,129,2920,10441,NA,670,0.036,NA,NA,"2020-11"
"1862","CABARRUS","KANNAPOLIS TRAIN DEPOT","11/03/2020",13818,0.085,0.215,0.472,0.216,0.012,1175,2977,6518,2986,162,13818,0.03,0.683,0.287,416,9442,3960,13818,0.006,0.22,0.002,0.018,0.005,0.114,0.635,NA,87,3040,21,244,65,1581,8776,NA,430,0.031,0,4,"2020-11"
"1863","CABARRUS","NORTHERN PLAZA","11/03/2020",20054,0.087,0.216,0.479,0.208,0.011,1738,4332,9600,4163,221,20054,0.034,0.671,0.295,682,13457,5915,20054,0.011,0.216,0.002,0.022,0.005,0.118,0.627,NA,212,4324,41,434,98,2373,12570,NA,643,0.032,0,2,"2020-11"
"1864","CALDWELL","RESOURCE CENTER","11/03/2020",17293,0.076,0.161,0.47,0.283,0.01,1313,2784,8122,4894,180,17293,0.013,0.805,0.182,220,13921,3152,17293,0.002,0.072,0.001,0.01,0.003,0.065,0.847,NA,43,1246,16,172,44,1125,14647,NA,734,0.042,NA,NA,"2020-11"
"1865","CALDWELL","SHUFORD RECREATION CENTER","11/03/2020",13752,0.073,0.172,0.489,0.254,0.011,1009,2365,6725,3496,157,13752,0.009,0.815,0.176,126,11211,2415,13752,0.003,0.008,0.001,0.006,0.001,0.067,0.914,NA,39,104,16,88,18,917,12570,NA,421,0.031,NA,NA,"2020-11"
"1866","CAMDEN","CAMDEN COUNTY BOARD OF ELECTIONS OFFICE","11/03/2020",3999,0.072,0.174,0.493,0.25,0.011,287,697,1973,1000,42,3999,0.004,0.471,0.525,14,1885,2100,3999,0.004,0.134,0.001,0.01,0.001,0.061,0.789,NA,14,537,5,41,3,243,3155,NA,97,0.024,0,1,"2020-11"
"1867","CARTERET","CARTERET COUNTY BOARD OF ELECTIONS OFFICE","11/03/2020",7869,0.05,0.126,0.448,0.37,0.006,393,991,3529,2908,48,7869,0.005,0.797,0.199,39,6268,1562,7869,0.003,0.065,0.001,0.004,0.001,0.078,0.848,NA,21,511,10,29,9,617,6672,NA,270,0.034,NA,NA,"2020-11"
"1868","CARTERET","FORT BENJAMIN PARK RECREATION CENTER","11/03/2020",8429,0.054,0.15,0.471,0.316,0.009,454,1264,3967,2666,78,8429,0.012,0.797,0.191,97,6720,1612,8429,0.005,0.035,0.002,0.007,0.003,0.074,0.874,NA,42,291,18,62,22,622,7369,NA,241,0.029,0,3,"2020-11"
"1869","CARTERET","MOREHEAD PARKS AND RECREATION","11/03/2020",5710,0.048,0.175,0.447,0.325,0.006,272,997,2552,1854,35,5710,0.006,0.766,0.228,34,4373,1303,5710,0.003,0.047,0.001,0.006,0.002,0.101,0.84,NA,18,268,6,35,11,574,4798,NA,187,0.033,NA,NA,"2020-11"
"1870","CARTERET","WESTERN PARK COMMUNITY CENTER","11/03/2020",7649,0.049,0.121,0.467,0.354,0.008,377,928,3572,2711,61,7649,0.009,0.742,0.249,68,5674,1907,7649,0.003,0.01,0.001,0.008,0.002,0.1,0.876,NA,26,77,5,59,13,766,6701,NA,201,0.026,0,2,"2020-11"
"1871","CASWELL","CASWELL COUNTY BOARD OF ELECTIONS OFFICE","11/03/2020",7055,0.068,0.135,0.471,0.315,0.011,478,954,3320,2222,81,7055,0.007,0.75,0.243,52,5288,1715,7055,0.002,0.358,0.002,0.007,0.003,0.06,0.568,NA,12,2527,12,51,23,420,4009,NA,198,0.028,0,1,"2020-11"
"1872","CATAWBA","CONOVER STATION","11/03/2020",9970,0.078,0.191,0.47,0.249,0.012,776,1907,4687,2479,121,9970,0.025,0.787,0.188,252,7846,1872,9970,0.018,0.054,0.001,0.02,0.003,0.078,0.826,NA,183,539,5,203,31,777,8232,NA,287,0.029,NA,NA,"2020-11"
"1873","CATAWBA","HIGHLAND RECREATION CENTER","11/03/2020",16391,0.075,0.172,0.466,0.276,0.011,1233,2813,7639,4522,184,16391,0.026,0.789,0.185,418,12939,3034,16391,0.01,0.106,0.001,0.022,0.003,0.07,0.788,NA,169,1734,10,358,53,1154,12913,NA,431,0.026,NA,NA,"2020-11"
"1874","CATAWBA","MAIN LIBRARY","11/03/2020",14026,0.075,0.161,0.476,0.279,0.009,1054,2255,6674,3911,132,14026,0.021,0.796,0.183,288,11171,2567,14026,0.008,0.092,0.001,0.016,0.003,0.069,0.81,NA,117,1287,17,224,45,974,11362,NA,458,0.033,NA,NA,"2020-11"
"1875","CATAWBA","SHERRILLS FORD-TERRELL BRANCH LIBRARY","11/03/2020",7786,0.071,0.153,0.52,0.245,0.012,551,1191,4045,1909,90,7786,0.009,0.745,0.247,68,5798,1920,7786,0.002,0.021,0.001,0.007,0.002,0.098,0.87,NA,13,162,8,55,16,761,6771,NA,247,0.032,NA,NA,"2020-11"
